,title,review
109,2023 최신판 에듀윌 취업 공기업기출 일반상식,최신상식을 기출키워드별로 정리해주니까 공부를 효율적으로 할 수 있어요[서평단이벤트참여]
110,30일 5분 달리기,"달리기 초보자인 저에게 구체적인 코 호흡법, 발착지법, 케이던스, 무엇보다도 “나만의 달리기 습관” 으로 내게 맞는 달리기를 할수 있도록 인식의 변화를 가져다 주었습니다. 이제는 즐거운 달리기의 일상이 되게해준 책이라 계속 반복해서 읽으며 달리기의 도우미가 되었습니다."
111,청년의 내일을 여는 해방일지,청년정책의 모든것이 담겨있다. 청년 혹은 미래세대에 관심이 있다면 꼭 일독을 권한다.
112,야쿠자의 덕질 1,정발 나와서 좋다...기다렸다가 이북 나오면 사야지 했는데 특전보고 홀린듯이 바로 구매함ㅋㅋㅋㅋㅋㅋㅋㅋ
113,용선생 15분 한국사 독해 1권,"애들 보기 적당해요. 글 읽기 싫어하는 애들 집중력있게 글 읽도록 연습시키면서 한국사 상식 쌓기,어휘 연습에도 좋아요. 초등 3학년 정도부터 시작해도 될 듯 합니다"
114,용선생 15분 세계사 독해 1권 : 고대 편,애들 보기 적당해요. 글 읽기 싫어하는 애들 집중력있게 글 읽도록 연습시키면서 세계사 상식 쌓기도 좋아요. 초등 3학년 정도부터 시작해도 될 듯 합니다.
115,크립토 투자 노트,좋은투자와 화폐에대한 인식을 잘알게 해주시고 어떻게 투자를 해야할지를 공부하게 되어 감사합니다 완전 크립토 노트 강추입니다
116,스스로 깨어난 자 붓다,이책 번역이 탁월하다고?...지나가는 dog가 웃는다...굳이 한글로...닙바나? 담마?묵카?...열불나서 쓰레기통에 쳐박았다
117,내일은 덜컥 일요일,"최근 읽었던 시집 중에서 으뜸이었습니다. 행간의 이미지들이 띄엄띄엄 놓여있어서, 마침 징검돌을 밟고 여름 개울을 건너는 기분이었습니다. 폴짝폴짝. 시인의 상상력을 따라가도 보면 시원한 쾌감과 서늘한 슬픔을 동시에 느낄 수 있었습니다. 겉바속촉의 시입니다. 시인에게 감사한 마음이..."
118,에듀윌 토익 실전 LC+RC,여러 문제집을 풀어봤는데 역시 토익하면 에듀윌!! 최신 기출 유형이 잘 반영되어 있어요~실전대비를 할 수 있어서 좋아요! 이번 8월 둘째주에 시험보는데 이 책이 도움이 많이 되고 있습니다.-출판사에서 진행하는 기대평 이벤트 참여
